10th_score,12th_score,UG_score,Interests,Skills,Recommended_Career
93.8,89.89,8.4,Design,"UI/UX, Creativity, Adobe XD, Sketch",UX/UI Designer
74.99,73.07,7.77,Software Development,"C++, Java, Git, Spring Boot",Software Developer
72.52,91.1,8.97,Data Science,"Machine Learning, Data Analysis, SQL",Data Scientist
90.42,61.85,6.79,AI/ML,"TensorFlow, Keras, Deep Learning",Machine Learning Engineer
83.2,65.35,6.57,Software Development,"Spring Boot, Java, C++, OOP",Software Developer
76.27,81.9,6.09,Cybersecurity,"Ethical Hacking, Linux, Cryptography, Network Security",Cybersecurity Analyst
68.29,60.09,7.09,Software Development,"OOP, Problem Solving",Software Developer
92.98,68.56,9.16,Design,"UI/UX, Figma, Creativity, Photoshop, Sketch",UX/UI Designer
76.4,88.52,6.35,Data Science,"Pandas, Python",Data Scientist
92.35,80.47,7.98,Design,"Figma, Photoshop, Sketch, Creativity, Adobe XD",UX/UI Designer
85.25,74.28,9.4,Cloud Computing,"Azure, Docker, DevOps, AWS, Terraform",Cloud Engineer
63.09,83.78,7.1,Data Science,"Python, SQL, NumPy, Pandas, Machine Learning",Data Scientist
69.48,74.99,8.12,Data Science,"SQL, Machine Learning, Pandas",Data Scientist
93.64,62.63,7.88,Design,"Photoshop, Adobe XD, UI/UX",UX/UI Designer
76.44,68.53,8.55,Design,"Photoshop, UI/UX, Creativity, Adobe XD, Sketch",UX/UI Designer
82.33,92.88,6.39,Cybersecurity,"Cryptography, Wireshark, Network Security",Cybersecurity Analyst
69.49,62.58,8.88,Cloud Computing,"Kubernetes, AWS, Azure, Docker",Cloud Engineer
69.0,65.61,7.15,Data Science,"Machine Learning, Pandas, SQL, Data Analysis",Data Scientist
84.34,65.57,6.44,Software Development,"Spring Boot, Git, OOP",Software Developer
61.09,85.83,8.19,Cybersecurity,"Firewalls, Ethical Hacking, Wireshark",Cybersecurity Analyst
94.71,73.68,8.66,Software Development,"Java, Problem Solving",Software Developer
80.59,75.77,8.86,AI/ML,"Scikit-learn, Keras",Machine Learning Engineer
78.26,69.82,8.6,Web Development,"Node.js, CSS",Web Developer
79.88,92.93,7.11,Cloud Computing,"Kubernetes, Docker, Azure, DevOps",Cloud Engineer
68.58,68.66,8.67,Data Science,"Python, Pandas",Data Scientist
73.95,75.78,6.59,Software Development,"C++, Spring Boot, OOP, Git",Software Developer
71.7,68.54,7.97,Cloud Computing,"Azure, Terraform, Docker, Kubernetes",Cloud Engineer
71.35,64.85,8.64,Data Science,"Python, NumPy",Data Scientist
77.6,68.76,9.42,Cloud Computing,"Kubernetes, AWS",Cloud Engineer
79.55,80.17,7.6,Cybersecurity,"Cryptography, Wireshark",Cybersecurity Analyst
63.66,82.31,8.86,Web Development,"JavaScript, Node.js, React, CSS, Bootstrap",Web Developer
82.98,72.76,8.63,Design,"Figma, Photoshop, Creativity, Adobe XD",UX/UI Designer
88.62,77.89,8.42,Cybersecurity,"Network Security, Linux, Wireshark",Cybersecurity Analyst
93.56,94.4,7.17,Cybersecurity,"Network Security, Linux, Ethical Hacking, Wireshark",Cybersecurity Analyst
92.38,90.24,7.32,Cloud Computing,"Kubernetes, Azure, AWS, DevOps",Cloud Engineer
71.16,82.99,7.72,Cloud Computing,"Azure, AWS, Kubernetes",Cloud Engineer
84.76,88.22,8.22,Cybersecurity,"Firewalls, Linux, Cryptography, Wireshark, Network Security",Cybersecurity Analyst
82.03,68.82,9.43,Cloud Computing,"AWS, DevOps",Cloud Engineer
73.13,87.04,6.85,Software Development,"C++, Git, Problem Solving, Spring Boot",Software Developer
84.69,72.86,6.46,AI/ML,"Keras, NLP, Scikit-learn, Python",Machine Learning Engineer
90.49,63.78,9.32,Web Development,"HTML, Bootstrap, Node.js, React",Web Developer
70.62,92.03,7.52,Software Development,"Git, Spring Boot, C++, Java, Problem Solving",Software Developer
89.67,89.23,8.39,Web Development,"Bootstrap, Node.js, CSS",Web Developer
90.9,88.23,8.84,Cloud Computing,"Azure, AWS, Kubernetes",Cloud Engineer
78.8,79.86,8.74,Data Science,"Machine Learning, SQL, Pandas, Data Analysis, Python",Data Scientist
73.96,76.36,6.37,Design,"Photoshop, Adobe XD, Creativity, Sketch, Figma",UX/UI Designer
79.28,78.47,8.99,Design,"Photoshop, UI/UX",UX/UI Designer
71.73,83.68,6.96,Software Development,"C++, Git, Java, OOP",Software Developer
90.82,72.24,6.17,Cybersecurity,"Network Security, Ethical Hacking, Firewalls, Wireshark",Cybersecurity Analyst
85.01,84.6,8.45,Cloud Computing,"DevOps, Azure, AWS, Docker, Kubernetes",Cloud Engineer
74.61,90.14,8.29,Web Development,"JavaScript, Node.js, Bootstrap",Web Developer
92.66,83.05,7.74,Web Development,"HTML, JavaScript, CSS, React, Bootstrap",Web Developer
67.2,74.79,6.96,Data Science,"SQL, Pandas",Data Scientist
69.7,79.47,8.74,Web Development,"Node.js, HTML, React, JavaScript, Bootstrap",Web Developer
77.53,60.11,8.03,Cloud Computing,"DevOps, Kubernetes, Terraform",Cloud Engineer
69.66,92.0,6.48,Data Science,"Machine Learning, SQL, Data Analysis",Data Scientist
73.55,93.01,8.02,Cloud Computing,"Terraform, Docker, AWS, DevOps, Azure",Cloud Engineer
82.84,69.42,6.1,AI/ML,"NLP, Scikit-learn, Keras, TensorFlow, Deep Learning",Machine Learning Engineer
85.88,88.77,6.63,Cybersecurity,"Cryptography, Linux, Wireshark, Network Security",Cybersecurity Analyst
65.35,80.25,7.15,Cybersecurity,"Network Security, Linux, Cryptography, Ethical Hacking, Wireshark",Cybersecurity Analyst
94.29,73.42,9.2,Web Development,"Node.js, React, CSS, JavaScript, HTML",Web Developer
69.45,86.77,6.04,Cybersecurity,"Firewalls, Ethical Hacking, Cryptography, Linux, Network Security",Cybersecurity Analyst
94.9,81.43,7.37,Software Development,"C++, Git, Spring Boot",Software Developer
62.94,84.22,8.13,AI/ML,"Deep Learning, Python, Scikit-learn, Keras, TensorFlow",Machine Learning Engineer
60.94,73.98,8.09,Design,"Sketch, Creativity, Photoshop, Adobe XD",UX/UI Designer
66.96,78.86,6.44,AI/ML,"Python, TensorFlow, Scikit-learn, Deep Learning, NLP",Machine Learning Engineer
61.26,79.8,8.2,Data Science,"Pandas, NumPy, SQL, Python, Machine Learning",Data Scientist
94.19,92.04,7.22,Software Development,"OOP, Git, C++, Problem Solving",Software Developer
72.65,64.79,6.32,Web Development,"React, Bootstrap",Web Developer
70.86,78.95,9.34,Software Development,"Git, C++, Java, OOP, Problem Solving",Software Developer
90.78,60.04,8.11,Cybersecurity,"Cryptography, Ethical Hacking",Cybersecurity Analyst
76.71,83.8,7.6,Software Development,"Problem Solving, Java, OOP",Software Developer
86.97,62.46,8.4,Web Development,"HTML, JavaScript, Bootstrap, Node.js",Web Developer
94.01,69.82,6.84,Software Development,"Git, OOP, Spring Boot, C++",Software Developer
62.8,73.93,7.06,Design,"Adobe XD, Figma",UX/UI Designer
70.49,64.22,7.07,AI/ML,"Keras, Deep Learning",Machine Learning Engineer
75.6,63.45,7.96,Web Development,"HTML, CSS, Node.js, JavaScript",Web Developer
70.08,90.16,8.03,AI/ML,"Scikit-learn, Python, Keras, TensorFlow",Machine Learning Engineer
88.71,89.15,6.59,AI/ML,"Python, NLP, Deep Learning, TensorFlow",Machine Learning Engineer
76.51,85.18,7.54,Design,"Photoshop, Figma, Sketch, UI/UX, Adobe XD",UX/UI Designer
61.04,71.19,8.69,Software Development,"Java, Git",Software Developer
75.57,61.65,6.56,Data Science,"Python, Pandas, Machine Learning",Data Scientist
82.62,93.05,9.37,Cybersecurity,"Firewalls, Network Security",Cybersecurity Analyst
